nearest_lon,nearest_lat,latitude,longitude,bright_ti4,scan,track,acq_time,version,bright_ti5,frp,type,nearest_lon,nearest_lat,distance_deg
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,count
-8.123868178999945,27.61023082700021,27.601219999999998,-8.117085,340.41499999999996,0.405,0.52,1284.0,2.0,308.71,3.0300000000000002,0.0,-8.123868178999945,27.61023082700021,2
-7.973868178999943,27.76023082700021,27.75128,-7.97141,337.67,0.45,0.39,1325.0,2.0,310.63,2.35,0.0,-7.973868178999943,27.76023082700021,1
-7.873868178999942,27.56023082700021,27.58253,-7.85335,344.76,0.4,0.6,1255.0,2.0,301.27,4.06,0.0,-7.873868178999942,27.56023082700021,1
-7.823868178999941,27.46023082700021,27.45027,-7.81107,337.59,0.42,0.46,1403.0,2.0,309.76,1.19,0.0,-7.823868178999941,27.46023082700021,1
-6.873868178999928,26.8602308270002,26.8435,-6.88592,335.5,0.74,0.76,1233.0,2.0,308.61,3.89,0.0,-6.873868178999928,26.8602308270002,1
-4.323868178999891,25.96023082700019,25.94741,-4.33282,295.88,0.61,0.71,253.0,2.0,283.37,7.91,0.0,-4.323868178999891,25.96023082700019,1
-3.673868178999882,28.560230827000225,28.547502857142856,-3.669108571428571,367.0,0.43,0.46,1255.0,2.0,326.8385714285714,5.187142857142858,0.0,-3.673868178999882,28.560230827000225,7
-3.673868178999882,28.660230827000227,28.648069,-3.662639,362.691,0.4,0.37,1314.0,2.0,325.942,6.352,0.0,-3.673868178999882,28.660230827000227,10
-3.4738681789998798,29.56023082700024,29.55582,-3.48287,304.82,0.34,0.56,120.0,2.0,279.92,0.06,0.0,-3.4738681789998798,29.56023082700024,1
-2.82386817899987,24.460230827000167,24.45786,-2.82756,295.72,0.43,0.46,216.0,2.0,284.75,0.11,0.0,-2.82386817899987,24.460230827000167,1
-2.7738681789998694,31.06023082700026,31.064790000000002,-2.7677866666666664,325.69666666666666,0.4566666666666667,0.47000000000000003,905.6666666666666,2.0,301.50666666666666,2.926666666666667,0.0,-2.7738681789998694,31.060230827000264,3
-2.7238681789998687,31.01023082700026,30.99567,-2.73476,335.45,0.41,0.61,1228.0,2.0,297.11,2.12,0.0,-2.7238681789998687,31.01023082700026,1
-2.5738681789998665,26.210230827000192,26.206934999999998,-2.5738416666666666,367.0,0.52,0.41,1300.0,2.0,328.702,5.713333333333334,0.0,-2.5738681789998665,26.210230827000192,30
-2.473868178999865,26.410230827000195,26.42162833333333,-2.4856416666666665,367.0,0.51,0.41,1300.0,2.0,326.105,6.663333333333333,0.0,-2.473868178999865,26.410230827000195,6
-2.2738681789998623,25.510230827000186,25.528950769230768,-2.288782307692308,363.63384615384615,0.51,0.41000000000000003,1259.0,2.0,326.6123076923077,2.356923076923077,0.0,-2.2738681789998623,25.51023082700019,13
-2.2738681789998623,25.560230827000183,25.537802499999998,-2.2874125,367.0,0.51,0.41,1259.0,2.0,328.34499999999997,1.7775,0.0,-2.2738681789998623,25.560230827000183,4
-2.2738681789998623,31.560230827000268,31.55743,-2.266165,343.735,0.43,0.46,1337.0,2.0,309.90999999999997,8.53,0.0,-2.2738681789998623,31.560230827000268,2
-2.2238681789998616,31.66023082700027,31.68359,-2.2314,336.5,0.43,0.38,1259.0,2.0,310.92,1.85,0.0,-2.2238681789998616,31.66023082700027,1
-2.173868178999861,26.360230827000198,26.382216666666665,-2.19003,367.0,0.49,0.4000000000000001,1300.0,2.0,326.4633333333333,7.953333333333333,0.0,-2.173868178999861,26.360230827000198,3
-2.173868178999861,26.410230827000195,26.39062,-2.186725384615385,367.0,0.49,0.4,1300.0,2.0,326.0084615384615,4.753846153846154,0.0,-2.173868178999861,26.410230827000195,13
-2.173868178999861,35.06023082700032,35.0568,-2.18114,308.27,0.41,0.37,206.0,2.0,285.27,1.21,0.0,-2.173868178999861,35.06023082700032,1
-2.12386817899986,26.410230827000195,26.39203,-2.09919,367.0,0.49,0.4,1300.0,2.0,328.46,9.95,0.0,-2.12386817899986,26.410230827000195,1
-2.0738681789998594,26.360230827000198,26.3748512,-2.070502,360.8932,0.49,0.4,1300.0,2.0,326.61560000000003,4.0624,0.0,-2.0738681789998594,26.360230827000194,50
-2.0738681789998594,26.410230827000195,26.389404166666665,-2.087330833333333,367.0,0.49,0.4000000000000001,1300.0,2.0,328.18,6.589166666666666,0.0,-2.0738681789998594,26.410230827000195,12
-2.0238681789998587,26.360230827000198,26.347722380952384,-2.0112566666666667,362.8657142857143,0.48,0.4,1300.0,2.0,326.18,3.947142857142857,0.0,-2.0238681789998587,26.360230827000198,21
-1.973868178999858,26.310230827000197,26.33467,-1.99677,367.0,0.48,0.4,1300.0,2.0,325.74,10.42,0.0,-1.973868178999858,26.310230827000197,1
-1.973868178999858,26.360230827000198,26.345299999999998,-1.9909252941176472,367.0,0.48,0.4,1300.0,2.0,327.5305882352941,4.571176470588235,0.0,-1.973868178999858,26.360230827000198,17
-1.973868178999858,35.01023082700031,35.01283,-1.95307,333.92,0.49,0.49,1235.0,2.0,304.83,4.56,0.0,-1.973868178999858,35.01023082700031,1
-1.9238681789998573,31.860230827000272,31.853966666666665,-1.9326315384615385,300.4484615384615,0.41538461538461535,0.4035897435897436,170.15384615384616,2.0,285.86487179487176,0.7307692307692307,1.3333333333333333,-1.9238681789998573,31.860230827000276,39
-1.9238681789998573,34.860230827000315,34.86339,-1.90322,330.68,0.38,0.36,1308.0,2.0,267.06,2.74,0.0,-1.9238681789998573,34.860230827000315,1
