metric,train,test
accuracy,0.9891804273676674,0.9939835618673393
precision,0.9978653518035522,0.9832815256657985
recall,0.9590403744880047,0.9446327683615819
f1,0.9780677196911652,0.9635697526036306
roc_auc,0.9955723951674532,0.9897889574379087
tn,411586.0,134508.0
fp,284.0,199.0
fn,5670.0,686.0
tp,132759.0,11704.0
