metric,train,test
accuracy,0.9891731585919654,0.9939903601025174
precision,0.9979027129422908,0.9836079354404842
recall,0.9589753592094142,0.9443906376109766
f1,0.9780518533253763,0.9636004282302562
roc_auc,0.9955684355869734,0.989958653454624
tn,411591.0,134512.0
fp,279.0,195.0
fn,5679.0,689.0
tp,132750.0,11701.0
