K,init,algorithm,Silhouette,Silhouette_std
3,k-means++,minibatch_kmeans,0.18559081465315613,0.0008234052733518023
5,k-means++,minibatch_kmeans,0.17913979533809088,0.0006148413714532531
8,k-means++,minibatch_kmeans,0.23610996004115078,0.0007485676089886706
11,k-means++,minibatch_kmeans,0.23739524753919916,0.0008312809897032809
12,k-means++,minibatch_kmeans,0.22334201497356038,0.0011053194032705645
14,k-means++,minibatch_kmeans,0.22546631476395373,0.0008824228720526378
16,k-means++,minibatch_kmeans,0.223030839394722,0.0008484959568045772
21,k-means++,minibatch_kmeans,0.2322690718807733,0.0004235683873078215
26,k-means++,minibatch_kmeans,0.21625728253536253,0.001018898122773738
