metric,train,test
accuracy,0.9891786101737419,0.9939903601025174
precision,0.9978503675420531,0.9831205911991938
recall,0.959047598407848,0.9448748991121872
f1,0.9780642784786813,0.96361840480698
roc_auc,0.9955719576754181,0.9900575672044333
tn,411584.0,134506.0
fp,286.0,201.0
fn,5669.0,683.0
tp,132760.0,11707.0
