metric,train,test
accuracy,0.9898273484051398,0.9813932303174095
precision,0.9935423463056128,0.856436009157374
recall,0.9658380830606303,0.935996771589992
f1,0.979494355270002,0.8944506575141722
roc_auc,0.9996146574589788,0.9708579826075514
tn,411001.0,132763.0
fp,869.0,1944.0
fn,4729.0,793.0
tp,133700.0,11597.0
