metric,train,test
accuracy,0.9891804273676674,0.9939495706914485
precision,0.9978728361933539,0.9829497732235848
recall,0.9590331505681613,0.9445520581113801
f1,0.9780675581095517,0.9633684557128745
roc_auc,0.9955745221345146,0.9900886734874007
tn,411587.0,134504.0
fp,283.0,203.0
fn,5671.0,687.0
tp,132758.0,11703.0
