algorithm,min_cluster_size,min_samples,n_clusters,n_noise,noise_ratio,CH,DBI,Silhouette,Silhouette_std
hdbscan,50,10,4410,143423,0.19500518706754608,10155.341160197208,0.8159515199591315,0.421690938847326,0.0017054360671252137
hdbscan,100,50,1176,139784,0.1900574180504512,12114.181822177805,0.8537738396599395,0.3180143190618927,0.0005209977578696295
hdbscan,200,20,566,76640,0.10420363217096792,19183.306634676526,1.0652460880910333,0.2633783845182246,0.0016929014366998502
hdbscan,200,50,494,91208,0.12401102404814252,22202.46141483522,0.9742370841646854,0.28147480316257034,0.002532384132308515
hdbscan,500,50,267,81106,0.11027583234418742,32101.7025179503,1.1491288666570747,0.27843135065358154,0.0009548235033109043
hdbscan,1000,50,156,80387,0.10929824346721814,41141.82195409893,1.2893392596333082,0.28475200583790805,0.001638942777982889
