algorithm,min_cluster_size,min_samples,n_clusters,n_noise,noise_ratio,CH,DBI,Silhouette,Silhouette_std
hdbscan,50,10,4705,141521,0.19241913137353275,9613.115812421172,0.8402605206507678,0.415047631999162,0.0012099766964917239
hdbscan,100,50,1117,133634,0.1816955660429949,12354.581972751314,0.9555195940977038,0.24981478331024148,0.001807645142020548
hdbscan,200,20,661,88982,0.1209844415166632,15974.81674241059,1.205005259036342,0.21911689986108668,0.001626174528131428
hdbscan,200,50,550,97745,0.13289906088923878,15464.683692850305,1.1185523937460142,0.22099316894987764,0.0016330261896091833
hdbscan,500,50,295,93779,0.12750668608247914,24703.715102483402,1.3340416980474894,0.22021246746883166,0.0010693207788540038
hdbscan,1000,50,174,107191,0.1457423217123985,29329.604730543622,1.4589200360601353,0.20762483780073993,0.001571614176482901
